slug	name
mark-begich	Mark Begich
william-bryk	William Bryk
john-jaramillo	John Jaramillo
joe-miller	Joe Miller
sarah-palin	Sarah Palin
daniel-s-sullivan	Dan Sullivan
kathleen-tonn	Kathleen Tonn
mead-treadwell	Mead Treadwell
jeff-sessions	Jeff Sessions
thomas-cotton-1	Tom Cotton
nathan-lafrance	Nathan LaFrance
mark-pryor	Mark Pryor
mark-aspiri	Mark Aspiri
randy-baumgardner	Randy Baumgardner
kenneth-r-buck	Ken Buck
owen-hill	Owen Hill
jaime-mcmillan	Jaime McMillan
amy-stephens	Amy Stephens
mark-udall	Mark Udall
cory-gardner	Cory Gardner
tom-kovach	Tom Kovach (potential)
christine-o'donnell	Christine O'Donnell (potential)
christopher-a-coons	Chris Coons
paul-broun	Paul Broun
art-gardner	Art Gardner
j-phillip-gingrey	Phil Gingrey
derrick-earl-grayson	Derrick Grayson
karen-handel	Karen Handel
john-h-sr-rep-kingston	Jack Kingston
steen-miles	Steen Miles
mary-michelle-nunn	Michelle Nunn
david-perdue	David Perdue
branko-radulovacki	Branko Radulovacki
todd-anthony-robinson	Todd Robinson
eugene-chin-yu	Eugene Yu
campbell-cavasso	Cam Cavasso
colleen-hanabusa	Colleen Hanabusa
brian-schatz	Brian Schatz
bruce-braley	Bruce Braley
samuel-clovis	Sam Clovis
joni-k-ernst	Joni Ernst
mark-jacobs	Mark Jacobs
paul-lunde	Paul Lunde
scott-schaben	Scott Schaben
matthew-george-matt-whitaker	Matt Whitaker
david-young	David Young
nels-mitchell	Nels Mitchell
jim-risch	Jim Risch
armen-alvarez	Armen Alvarez
richard-j-durbin	Richard Durbin
sharon-hansen	Sharon Hansen
william-john-lee	William Lee
jim-oberweis	Jim Oberweis
douglas-lee-truax	Doug Truax
chad-taylor	Chad Taylor
pat-roberts	Pat Roberts
milton-wolf	Milton Wolf
matthew-griswold-bevin	Matt Bevin
burrel-farnsley	Burrel Farnsley
alison-lundergan-grimes	Alison Lundergan Grimes
greg-leichty	Greg Leichty
tom-recktenwald	Tom Recktenwald
james-copas	James Copas
shawna-sterling	Shawna Sterling
chris-payne	Chris Payne
ed-marksberry	Ed Marksberry
gurley-martin	Gurley Martin
mitch-mcconnell	Mitch McConnell
david-patterson	David Patterson
bennie-j-smith	Bennie J Smith
paul-hollis	Paul Hollis
william-cassidy	Bill Cassidy
mary-l-landrieu	Mary L. Landrieu
robert-l-colonel-maness	Rob Maness
brannon-mcmorris	Brannon McMorris
brian-herr	Brian Herr
edward-j-markey	Edward J. Markey
frank-addivinola	Frank Addivinola
shenna-bellows	Shenna Bellows
erick-bennett	Erick Bennett
susan-collins	Susan Collins
terri-lynn-land	Terri Lynn Land
gary-peters	Gary Peters
matthew-wiedenhoeft	Matthew Wiedenhoeft
james-j-abeler	Jim Abeler
christopher-ames-dahlberg	Chris Dahlberg
al-franken	Al Franken
michael-mcfadden	Mike McFadden
monti-moreno	Monti Moreno
julianne-ortman	Julianne Ortman
thad-cochran	Thad Cochran
bill-marcy	Bill Marcy
chris-mcdaniel	Chris McDaniel
travis-childers	Travis Childers
dirk-standley-adams	Dirk Adams
john-bohlinger	John Bohlinger
steven-daines	Steve Daines
richard-champion-jr-edmunds	Champ Edmunds
david-leaser	David Leaser
john-walsh	John Walsh
ted-alexander	Ted Alexander
gregory-joseph-brannon	Greg Brannon
william-flynn	Bill Flynn
heather-anderson-grant	Heather Grant
will-stewart	Will Stewart
kay-hagan	Kay Hagan
edward-kryn	Edward Kryn
mark-harris	Mark Harris
thom-r-tillis	Thom Tillis
david-domina	David Domina
clifton-johnson	Clifton Johnson
bartholomew-l-mcleay	Bartholomew McLeay
sid-dinsdale	Sid Dinsdale
jim-jenkins	Jim Jenkins
shane-osborn	Shane Osborn
benjamin-e-sasse	Ben Sasse
andy-martin	Andy Martin
scott-brown	Scott Brown
jim-rubens	Jim Rubens
jeanne-shaheen	Jeanne Shaheen
bob-smith-2	Robert C Smith
karen-testerman	Karen Testerman
jeff-bell	Jeff Bell
cory-booker	Cory Booker
allen-weh	Allen Weh
david-clements	David Clements
tom-udall	Tom Udall
jim-inhofe	James M. Inhofe
matthew-benjamin-silverstein	Matt Silverstein
james-lankford	James Lankford
tw-shannon	T.W. Shannon
mark-allen-callahan	Mark Callahan
sam-carpenter	Sam Carpenter
jason-conger	Jason Conger
pavel-goberman	Pavel Goberman
karl-king	Karl King
jeff-merkley	Jeff Merkley
jo-rae-perkins	Jo Rae Perkins
monica-wehby	Monica Wehby
jack-reed	Jack Reed
lee-bright	Lee Bright
richard-james-cash	Richard Cash
william-mellard-v-connor	Bill Connor
detreville-bowers	DeTreville Bowers
lindsey-graham	Lindsey Graham
nancy-mace	Nancy Mace
jeremy-michael-stamper	Jay Stamper
joyce-dickerson	Joyce Dickerson
tim-scott	Tim Scott
rick-wade	Rick Wade
harold-pavilack	Harold Pavilack
sidney-moore	Sidney Moore
larry-pressler	Larry Pressler
annette-dr-bosworth	Annette Bosworth
stacey-stace-victor-nelson	Stace Nelson
jason-ravnsborg	Jason Ravnsborg
larry-robert-rhoden	Larry Rhoden
marion-michael-rounds	Mike Rounds
rick-weiland	Rick Weiland
terry-adams	Terry Adams
joe-carr	Joe Carr
larry-r-crim	Larry Crim
brenda-lenard	Brenda Lenard
jacob-maurer	Jacob Maurer
lamar-alexander	Lamar Alexander
danny-page	Danny Page
david-alameel	David Alameel
curtis-c-cleaver	Curt Cleaver
ken-cope	Ken Cope
john-cornyn	John Cornyn
mike-fjetland	Mike Fjetland
harry-kim	Harry Kim
chris-mapp	Chris Mapp
rebecca-paddock	Rebecca Paddock
tanuja-paruchuri	Tanuja Paruchuri
reid-reasor	Reid Reasor
kesha-rogers	Kesha Rogers
jon-roland	Jon Roland
maxey-scherr	Maxey Scherr
steve-stockman	Steve Stockman
dwayne-stovall	Dwayne Stovall
linda-vega	Linda Vega
ed-gillespie	Ed Gillespie
shak-hill	Shak Hill
tony-detora	Tony DeTora
chuck-moss	Chuck Moss
mark-warner	Mark Warner
shelley-moore-capito	Shelley Moore Capito
pat-mcgeehan	Pat McGeehan
sheirl-fletcher	Sheirl Fletcher
matthew-dodrill	Matthew Dodrill
david-wamsley	David Wamsley
larry-butcher	Larry Butcher
dennis-melton	Dennis Melton
natalie-tennant	Natalie Tennant
thomas-bleming	Thomas Bleming
charlie-hardy	Charlie Hardy
rex-wilde	Rex Wilde
michael-b-enzi	Michael B. Enzi
